Latitude,Longitude
12.856172,77.586743
12.885694,77.675015
13.014292,77.645506
12.958821,77.500303
13.06178,77.6771
12.949873,77.651884
12.97533,77.651248
12.921092,77.604185
12.942194,77.56726
13.003801,77.562708
12.916573,77.520572
12.94,77.635088
12.836021,77.68177
13.089203,77.640546
12.935854,77.592194
12.930468,77.567446
12.829637,77.695074
13.07347,77.635227
13.04152,77.660185
13.077488,77.579116
12.846915,77.550443
12.814874,77.668787
12.936178,77.637187
13.075115,77.686354
12.844454,77.639055
13.050266,77.690502
12.91983,77.643682
12.889676,77.592037
13.051281,77.615104
13.081931,77.53855
12.911393,77.537328
12.882371,77.592622
12.830789,77.667351
13.011971,77.553954
13.050347,77.541281
12.862334,77.687855
13.003557,77.507044
13.055378,77.579541
12.954384,77.607263
13.066085,77.56403
12.969129,77.618485
13.07931,77.645473
12.862649,77.633324
12.809929,77.652142
12.851873,77.640962
13.000907,77.503694
12.841036,77.661798
12.927757,77.538428
12.965518,77.53392
12.874539,77.624484
13.067113,77.677192
12.810118,77.573505
13.029453,77.510088
12.990424,77.51976
12.915168,77.550537
13.044738,77.530464
13.043604,77.515228
12.94494,77.606305
13.061426,77.66919
12.995664,77.507223
12.842006,77.564516
12.972214,77.642146
12.956483,77.687867
12.851271,77.690051
12.909787,77.671738
12.884359,77.646842
12.888252,77.680896
12.971866,77.577376
13.011951,77.637189
12.843836,77.563631
12.824722,77.569818
13.016427,77.598688
12.918032,77.681319
12.854741,77.505258
13.03844,77.522852
12.967568,77.683774
13.015547,77.648021
12.975736,77.525648
12.840393,77.622452
12.916329,77.624339
13.020169,77.511066
13.079441,77.663329
12.982707,77.58799
12.847708,77.544107
13.047143,77.666312
12.804926,77.589245
12.966515,77.552974
12.924051,77.649182
12.937876,77.538704
12.866773,77.688478
12.893603,77.62226
12.941121,77.551996
13.059082,77.662525
13.038517,77.608647
12.855622,77.663895
12.887336,77.514024
12.912972,77.603173
13.09903,77.640019
12.890372,77.57158
13.064911,77.541918
12.949992,77.644339
13.044625,77.634848
12.890437,77.517626
12.960407,77.697993
13.018458,77.518703
13.038856,77.608111
